district_name,season,crop_name,yield
Ahmednagar,kharif,arhar/tur,0.5
Akola,kharif,arhar/tur,2.27
Amravati,kharif,arhar/tur,0.82
Aurangabad,kharif,arhar/tur,0.77
Beed,kharif,arhar/tur,0.75
Bhandara,kharif,arhar/tur,0.5
Buldhana,kharif,arhar/tur,1.2
Chandrapur,kharif,arhar/tur,1.35
Dhule,kharif,arhar/tur,0.51
Gadchiroli,kharif,arhar/tur,0.9
Gondia,kharif,arhar/tur,0.7
Hingoli,kharif,arhar/tur,0.92
Jalgaon,kharif,arhar/tur,0.51
Jalna,kharif,arhar/tur,1.28
Kolhapur,kharif,arhar/tur,1.97
Latur,kharif,arhar/tur,1.22
Nagpur,kharif,arhar/tur,1.29
Nanded,kharif,arhar/tur,0.71
Nandurbar,kharif,arhar/tur,0.45
Nashik,kharif,arhar/tur,0.35
Osmanabad,kharif,arhar/tur,0.37
Palghar,kharif,arhar/tur,0.44
Parbhani,kharif,arhar/tur,1.15
Pune,kharif,arhar/tur,0.65
Raigad,kharif,arhar/tur,0.59
Sangli,kharif,arhar/tur,0.21
Satara,kharif,arhar/tur,0.83
Solapur,kharif,arhar/tur,0.57
Wardha,kharif,arhar/tur,1.35
Washim,kharif,arhar/tur,0.63
Yavatmal,kharif,arhar/tur,0.31
Ahmednagar,kharif,bajra,0.87
Akola,kharif,bajra,0.23
Amravati,kharif,bajra,1
Aurangabad,kharif,bajra,0.91
Beed,kharif,bajra,0.8
Buldhana,kharif,bajra,0.23
Dhule,kharif,bajra,0.52
Hingoli,kharif,bajra,0.17
Jalgaon,kharif,bajra,0.8
Jalna,kharif,bajra,1.29
Latur,kharif,bajra,0.22
Nanded,kharif,bajra,0.23
Nandurbar,kharif,bajra,0.83
Nashik,kharif,bajra,1.02
Osmanabad,kharif,bajra,0.3
Parbhani,kharif,bajra,0.47
Pune,kharif,bajra,1.31
Sangli,kharif,bajra,0.35
Satara,kharif,bajra,0.52
Solapur,kharif,bajra,0.23
Washim,kharif,bajra,0.23
Yavatmal,kharif,bajra,0.22
Ahmednagar,kharif,cotton,0.92
Akola,kharif,cotton,2.46
Amravati,kharif,cotton,1.67
Aurangabad,kharif,cotton,1.41
Beed,kharif,cotton,0.98
Bhandara,kharif,cotton,2.68
Buldhana,kharif,cotton,0.8
Chandrapur,kharif,cotton,2.4
Dhule,kharif,cotton,0.81
Gadchiroli,kharif,cotton,3.01
Gondia,kharif,cotton,2.5
Hingoli,kharif,cotton,2.51
Jalgaon,kharif,cotton,0.94
Jalna,kharif,cotton,2.33
Latur,kharif,cotton,1.52
Nagpur,kharif,cotton,2.67
Nanded,kharif,cotton,1.06
Nandurbar,kharif,cotton,1.58
Nashik,kharif,cotton,1.18
Osmanabad,kharif,cotton,0.52
Parbhani,kharif,cotton,1.39
Pune,kharif,cotton,34.14
Sangli,kharif,cotton,1.88
Satara,kharif,cotton,1.86
Solapur,kharif,cotton,0.46
Wardha,kharif,cotton,2.75
Washim,kharif,cotton,1.68
Yavatmal,kharif,cotton,1.17
Ahmednagar,rabi,gram,0.85
Akola,rabi,gram,1.26
Amravati,rabi,gram,1.21
Aurangabad,rabi,gram,1
Beed,rabi,gram,1
Bhandara,rabi,gram,0.7
Buldhana,rabi,gram,1.33
Chandrapur,rabi,gram,0.83
Dhule,rabi,gram,1.33
Gadchiroli,rabi,gram,0.8
Gondia,rabi,gram,0.39
Hingoli,rabi,gram,1.04
Jalgaon,rabi,gram,1.38
Jalna,rabi,gram,1.02
Kolhapur,rabi,gram,1.06
Latur,rabi,gram,1.12
Nagpur,rabi,gram,0.93
Nanded,rabi,gram,1.51
Nandurbar,rabi,gram,0.98
Nashik,rabi,gram,0.83
Osmanabad,rabi,gram,0.9
Palghar,rabi,gram,0.73
Parbhani,rabi,gram,0.89
Pune,rabi,gram,1.07
Raigad,rabi,gram,0.42
Ratnagiri,rabi,gram,0.48
Sangli,rabi,gram,0.88
Satara,rabi,gram,0.97
Solapur,rabi,gram,0.81
Thane,rabi,gram,0.7
Wardha,rabi,gram,1.01
Washim,rabi,gram,0.92
Yavatmal,rabi,gram,1.43
Ahmednagar,kharif,groundnut,0.59
Akola,kharif,groundnut,0.68
Amravati,kharif,groundnut,0.33
Aurangabad,kharif,groundnut,0.98
Beed,kharif,groundnut,0.44
Buldhana,kharif,groundnut,0.85
Dhule,kharif,groundnut,0.58
Gadchiroli,kharif,groundnut,0.23
Gondia,kharif,groundnut,0.25
Hingoli,kharif,groundnut,0.48
Jalgaon,kharif,groundnut,0.74
Jalna,kharif,groundnut,2.34
Kolhapur,kharif,groundnut,1.19
Latur,kharif,groundnut,0.33
Nagpur,kharif,groundnut,0.14
Nanded,kharif,groundnut,0.38
Nandurbar,kharif,groundnut,0.87
Nashik,kharif,groundnut,0.75
Osmanabad,kharif,groundnut,0.54
Parbhani,kharif,groundnut,0.33
Pune,kharif,groundnut,1
Sangli,kharif,groundnut,0.81
Satara,kharif,groundnut,0.91
Sindhudurg,kharif,groundnut,0.99
Solapur,kharif,groundnut,0.45
Wardha,kharif,groundnut,0.56
Washim,kharif,groundnut,0.64
Ahmednagar,kharif,jowar,0.28
Ahmednagar,rabi,jowar,0.52
Akola,kharif,jowar,0.82
Akola,rabi,jowar,0.79
Amravati,kharif,jowar,0.33
Amravati,rabi,jowar,0.79
Aurangabad,kharif,jowar,0.31
Aurangabad,rabi,jowar,0.98
Beed,kharif,jowar,0.54
Beed,rabi,jowar,0.75
Buldhana,kharif,jowar,0.16
Buldhana,rabi,jowar,0.92
Chandrapur,kharif,jowar,0.77
Chandrapur,rabi,jowar,0.48
Dhule,kharif,jowar,0.72
Dhule,rabi,jowar,1.92
Gadchiroli,kharif,jowar,0.53
Gadchiroli,rabi,jowar,0.67
Hingoli,kharif,jowar,0.71
Hingoli,rabi,jowar,1.2
Jalgaon,kharif,jowar,0.66
Jalgaon,rabi,jowar,1.65
Jalna,kharif,jowar,1.09
Jalna,rabi,jowar,0.92
Kolhapur,kharif,jowar,1.08
Kolhapur,rabi,jowar,1.63
Latur,kharif,jowar,0.79
Latur,rabi,jowar,0.95
Nagpur,kharif,jowar,0.4
Nagpur,rabi,jowar,0.57
